year,month,u_rate,lab_rate,part_rate,age_group,sex,date,u_rate_sa,lab_rate_sa,part_rate_sa
1984,2,0.052721389,0.70418721,0.24036264,40-44,f,1984-02-12,0.0522539055542701,0.703942346618624,0.235194972908264
1984,2,0.07106173,0.69274491,0.24630643,30-34,f,1984-02-12,0.0679892492762392,0.695313556078506,0.244824711398677
1984,3,0.10970443,0.68350333,0.30736616,20-24,f,1984-03-12,0.110693340545757,0.699989993703966,0.287714370286439
1984,3,0.089624539,0.93120897,0.083214484,25-29,m,1984-03-12,0.0831954632809269,0.937090186730567,0.0771549479832135
1984,3,0.12859103,0.83312702,0.21507715,20-24,m,1984-03-12,0.116709938264263,0.851014287823682,0.190807884342267
1984,3,0.21867734,0.5200069,0.64748728,16-19,m,1984-03-12,0.204985615284151,0.574309632107702,0.588285803612859
1984,3,0.048614718,0.11438425,0.58232379,65+,f,1984-03-12,0.0462515637674833,0.113101531382189,0.594500199020634
1984,3,0.18872984,0.46097842,0.72434193,16-19,f,1984-03-12,0.187300110284025,0.49999395563956,0.675981956433602
1984,3,0.039096057,0.41947663,0.28763828,55-64,f,1984-03-12,0.0366944292910732,0.420031371470996,0.271827771700949
1984,3,0.085159972,0.69749385,0.21269882,25-29,f,1984-03-12,0.0869962125088775,0.697377892417189,0.208418055094159
1984,3,0.052672744,0.66004485,0.23816721,45-49,f,1984-03-12,0.0543557053521204,0.660487785859275,0.234002335277601
1984,3,0.087686293,0.81294864,0.13958445,25-29,t,1984-03-12,0.0852188274905985,0.815614430005802,0.133450546162642
1984,3,0.051184479,0.82856804,0.13091314,40-44,t,1984-03-12,0.0478625865678285,0.83043337331887,0.127863807186408
1984,3,0.04958111,0.54397082,0.1759672,55-64,t,1984-03-12,0.0460370111690689,0.544259910907033,0.166405460720054
1984,3,0.070566349,0.69163454,0.24449573,30-34,f,1984-03-12,0.0699249112449467,0.691645415619265,0.239282361720688
1984,3,0.059661444,0.82142025,0.1344699,35-39,t,1984-03-12,0.0561234487886241,0.818271194362487,0.130722692674891
1984,3,0.070167877,0.94795907,0.062787838,30-34,m,1984-03-12,0.0648047123754572,0.951076085310544,0.06058835134938
1984,3,0.056875516,0.68550909,0.096813545,55-64,m,1984-03-12,0.0524087341845175,0.686817019445814,0.092694431196618
1984,3,0.052551515,0.93335223,0.044845641,45-49,m,1984-03-12,0.046883994027776,0.933772082069782,0.0443737538364735
1984,3,0.11992279,0.7570647,0.25792611,20-24,t,1984-03-12,0.114251528803323,0.775468715342885,0.235203992716699
